example_id,lang_code,task,input,model_prompt,generation,raw_generation,message_sequence
0,eng-zul,mt_eng2xx, have,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Zulu (zul)
text:  have<|im_end|>
<|im_start|>assistant
<think>

</think>

",ukuba nayo,ukuba nayo,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Zulu (zul)\ntext:  have'}]"
1,eng-ibo,mt_eng2xx,Champions League: Neymar has a broken leg.,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Igbo (ibo)
text: Champions League: Neymar has a broken leg.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Neymar merụrụ ahụ́ n'ụkwụ n'asọmpi Champions League.,Neymar merụrụ ahụ́ n'ụkwụ n'asọmpi Champions League.,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Igbo (ibo)\ntext: Champions League: Neymar has a broken leg.'}]"
2,eng-ibo,mt_eng2xx,Ibrahim Idris,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Igbo (ibo)
text: Ibrahim Idris<|im_end|>
<|im_start|>assistant
<think>

</think>

",Ibrahim Idris,Ibrahim Idris,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Igbo (ibo)\ntext: Ibrahim Idris'}]"
3,eng-lin,mt_eng2xx, A,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Lingala (lin)
text:  A<|im_end|>
<|im_start|>assistant
<think>

</think>

",A,A,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Lingala (lin)\ntext:  A'}]"
4,eng-run,mt_eng2xx, Brother,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Rundi (run)
text:  Brother<|im_end|>
<|im_start|>assistant
<think>

</think>

",Muvandimwe,Muvandimwe,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Rundi (run)\ntext:  Brother'}]"
5,eng-xho,mt_eng2xx, should,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  should<|im_end|>
<|im_start|>assistant
<think>

</think>

",ufanele,ufanele,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  should'}]"
6,eng-lin,mt_eng2xx, by,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Lingala (lin)
text:  by<|im_end|>
<|im_start|>assistant
<think>

</think>

",na,na,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Lingala (lin)\ntext:  by'}]"
7,eng-zul,mt_eng2xx, merely,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Zulu (zul)
text:  merely<|im_end|>
<|im_start|>assistant
<think>

</think>

",kumane nje,kumane nje,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Zulu (zul)\ntext:  merely'}]"
8,eng-twi,mt_eng2xx,"The deputy minister-designate argues welfare of teachers is a major concern to government and assured all outstanding issues relative to teacher upgrading, recent promotion challenges, allowances and other concerns would be tackled with urgency required.","<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Twi (twi)
text: The deputy minister-designate argues welfare of teachers is a major concern to government and assured all outstanding issues relative to teacher upgrading, recent promotion challenges, allowances and other concerns would be tackled with urgency required.<|im_end|>
<|im_start|>assistant
<think>

</think>

","Deputy minister-designate no kyerɛ sɛ, ɔkae sɛ, ɔman no de wɔn ani si ɔkyerɛkyerɛfoɔ ho","Deputy minister-designate no kyerɛ sɛ, ɔkae sɛ, ɔman no de wɔn ani si ɔkyerɛkyerɛfoɔ ho","[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Twi (twi)\ntext: The deputy minister-designate argues welfare of teachers is a major concern to government and assured all outstanding issues relative to teacher upgrading, recent promotion challenges, allowances and other concerns would be tackled with urgency required.'}]"
9,eng-nyn,mt_eng2xx,Garbage is collected every month to avoid accumulation.,"<|im_start|>system
You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.
Now, please Now, translate the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Swahili (swa)
text:  number<|im_end|>
<|im_start|>assistant
kuna<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Afrikaans (afr)
text:  contents<|im_end|>
<|im_start|>assistant
inhoud<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Southern Sotho (sot)
text:  team<|im_end|>
<|im_start|>assistant
sehlopha se<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: She was murdered mysteriously.<|im_end|>
<|im_start|>assistant
Akaitwa omu muringo ogutakwetegyerezibwa.<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Xhosa (xho)
text:  games<|im_end|>
<|im_start|>assistant
kwimidlalo<|im_end|>
<|im_start|>user
source language: English (eng)
target language: Nyankore/Nyankole (nyn)
text: Garbage is collected every month to avoid accumulation.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Kasasiro neekoorwa buri kwezi kwerinda okweyongera.,Kasasiro neekoorwa buri kwezi kwerinda okweyongera.,"[{'role': 'system', 'content': 'You are a multilingual AI assistant that translates text from source language to target language. You are accurate, context-aware, and maintain proper grammar and natural fluency.\nNow, please Now, translate the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Swahili (swa)\ntext:  number'}, {'role': 'assistant', 'content': 'kuna'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Afrikaans (afr)\ntext:  contents'}, {'role': 'assistant', 'content': 'inhoud'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Southern Sotho (sot)\ntext:  team'}, {'role': 'assistant', 'content': 'sehlopha se'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: She was murdered mysteriously.'}, {'role': 'assistant', 'content': 'Akaitwa omu muringo ogutakwetegyerezibwa.'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Xhosa (xho)\ntext:  games'}, {'role': 'assistant', 'content': 'kwimidlalo'}, {'role': 'user', 'content': 'source language: English (eng)\ntarget language: Nyankore/Nyankole (nyn)\ntext: Garbage is collected every month to avoid accumulation.'}]"
