example_id,lang_code,task,input,model_prompt,generation,raw_generation,message_sequence
0,hau,topic,Aisha Buhari Ta Bude Wata Cibiyar Kula Da Mata Masu Juna Biyu A Yola,"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Aisha Buhari Ta Bude Wata Cibiyar Kula Da Mata Masu Juna Biyu A Yola<|im_end|>
<|im_start|>assistant
<think>

</think>

",health,health,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'Aisha Buhari Ta Bude Wata Cibiyar Kula Da Mata Masu Juna Biyu A Yola'}]"
1,hau,topic,Sakon Sallah: Shugabannin Jihar Niger Sun Yi Kira Kan Zaman Lafiya,"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Sakon Sallah: Shugabannin Jihar Niger Sun Yi Kira Kan Zaman Lafiya<|im_end|>
<|im_start|>assistant
<think>

</think>

",nigeria,nigeria,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'Sakon Sallah: Shugabannin Jihar Niger Sun Yi Kira Kan Zaman Lafiya'}]"
2,yor,topic,"Oyo PDP: Olórí ọ̀dọ́ farapa ni, ẹni tó wa ọ̀kọ́ ló kú","<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Oyo PDP: Olórí ọ̀dọ́ farapa ni, ẹni tó wa ọ̀kọ́ ló kú<|im_end|>
<|im_start|>assistant
<think>

</think>

",entertainment,entertainment,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'Oyo PDP: Olórí ọ̀dọ́ farapa ni, ẹni tó wa ọ̀kọ́ ló kú'}]"
3,hau,topic,An Sauya Wa Ma’aikatan Kiwon Lafiya Wuraren Aiki A Jihar Kano Kan Batun Polio,"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
An Sauya Wa Ma’aikatan Kiwon Lafiya Wuraren Aiki A Jihar Kano Kan Batun Polio<|im_end|>
<|im_start|>assistant
<think>

</think>

",health,health,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'An Sauya Wa Ma’aikatan Kiwon Lafiya Wuraren Aiki A Jihar Kano Kan Batun Polio'}]"
4,hau,topic,Nijar: Ministan Kudi Ya Gabatar Wa Majalisar Dokoki Kasafin Shekara 2020,"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Nijar: Ministan Kudi Ya Gabatar Wa Majalisar Dokoki Kasafin Shekara 2020<|im_end|>
<|im_start|>assistant
<think>

</think>

",world,world,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'Nijar: Ministan Kudi Ya Gabatar Wa Majalisar Dokoki Kasafin Shekara 2020'}]"
5,yor,topic,"UK Prime Minister: Boris Johnson, Olóòtú ìjọba Gẹ̀ẹ́sì tuntun sọ̀rọ̀ àkọ́kọ́","<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
UK Prime Minister: Boris Johnson, Olóòtú ìjọba Gẹ̀ẹ́sì tuntun sọ̀rọ̀ àkọ́kọ́<|im_end|>
<|im_start|>assistant
<think>

</think>

",world,world,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'UK Prime Minister: Boris Johnson, Olóòtú ìjọba Gẹ̀ẹ́sì tuntun sọ̀rọ̀ àkọ́kọ́'}]"
6,yor,topic,Naijiria ló gba ipò kẹwàá nínú orilẹ-ede tó ni ẹ̀gbin ju- Ìwádìí,"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Naijiria ló gba ipò kẹwàá nínú orilẹ-ede tó ni ẹ̀gbin ju- Ìwádìí<|im_end|>
<|im_start|>assistant
<think>

</think>

",world,world,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'Naijiria ló gba ipò kẹwàá nínú orilẹ-ede tó ni ẹ̀gbin ju- Ìwádìí'}]"
7,hau,topic,Amurka Na Son A Bincike Rawar Da Iran Ke Takawa A Rikicin Yemen,"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Amurka Na Son A Bincike Rawar Da Iran Ke Takawa A Rikicin Yemen<|im_end|>
<|im_start|>assistant
<think>

</think>

",world,world,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'Amurka Na Son A Bincike Rawar Da Iran Ke Takawa A Rikicin Yemen'}]"
8,yor,topic,Nigeria Elections 2019: Àwa Mọ́gàjí ilẹ̀ Ibadan kìí dásí ọ̀rọ̀ òṣèlú',"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Nigeria Elections 2019: Àwa Mọ́gàjí ilẹ̀ Ibadan kìí dásí ọ̀rọ̀ òṣèlú'<|im_end|>
<|im_start|>assistant
<think>

</think>

",politics,politics,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': ""Nigeria Elections 2019: Àwa Mọ́gàjí ilẹ̀ Ibadan kìí dásí ọ̀rọ̀ òṣèlú'""}]"
9,hau,topic,Akwai Bukatar Shugaba Buhari Ya Fadada Yaki Da Cin Hanci Da Rashawa-Shani,"<|im_start|>system
I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.
Now, classify the topic label of the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce<|im_end|>
<|im_start|>assistant
nigeria<|im_end|>
<|im_start|>user
‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett<|im_end|>
<|im_start|>assistant
health<|im_end|>
<|im_start|>user
Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje<|im_end|>
<|im_start|>assistant
politics<|im_end|>
<|im_start|>user
Akwai Bukatar Shugaba Buhari Ya Fadada Yaki Da Cin Hanci Da Rashawa-Shani<|im_end|>
<|im_start|>assistant
<think>

</think>

",politics,politics,"[{'role': 'system', 'content': 'I will give you examples of text with their topic classification label. Then I want you to classify a new text as politics, health, world, nigeria, africa, entertainment or sport.\nNow, classify the topic label of the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'Shirin Haramta Almajirci A Najeriya Ya Janyo Cece-Ku-Ce'}, {'role': 'assistant', 'content': 'nigeria'}, {'role': 'user', 'content': '‘Yan Jarida Suna da Muhimmaci A Yaki Da Cutar Polio: Amanda Bennett'}, {'role': 'assistant', 'content': 'health'}, {'role': 'user', 'content': ""Dattawan Jihar Kano Sun Bukaci 'Yan Sanda Su Binciki Gwamna Ganduje""}, {'role': 'assistant', 'content': 'politics'}, {'role': 'user', 'content': 'Akwai Bukatar Shugaba Buhari Ya Fadada Yaki Da Cin Hanci Da Rashawa-Shani'}]"
