example_id,lang_code,task,input,model_prompt,generation,raw_generation,message_sequence
0,bam,sentiment,aw ye gladia toy gladia manye,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
aw ye gladia toy gladia manye<|im_end|>
<|im_start|>assistant
<think>

</think>

",neutral,neutral,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'aw ye gladia toy gladia manye'}]"
1,pcm,sentiment,oluwo of iwo: interesting tins wey you need sabi about oba abdulrasheed akanbi,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
oluwo of iwo: interesting tins wey you need sabi about oba abdulrasheed akanbi<|im_end|>
<|im_start|>assistant
<think>

</think>

",neutral,neutral,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'oluwo of iwo: interesting tins wey you need sabi about oba abdulrasheed akanbi'}]"
2,pcm,sentiment,hear ham ..1 month airplay 3times in day. we doing this for the culture .  we dey play you 1000% nigerian music listen via  dl app on play store 1mb only . your song .,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
hear ham ..1 month airplay 3times in day. we doing this for the culture .  we dey play you 1000% nigerian music listen via  dl app on play store 1mb only . your song .<|im_end|>
<|im_start|>assistant
<think>

</think>

",positive,positive,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'hear ham ..1 month airplay 3times in day. we doing this for the culture .  we dey play you 1000% nigerian music listen via  dl app on play store 1mb only . your song .'}]"
3,pcm,sentiment,4' kovacic do him own too and ref blow foul.,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
4' kovacic do him own too and ref blow foul.<|im_end|>
<|im_start|>assistant
<think>

</think>

",neutral,neutral,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': ""4' kovacic do him own too and ref blow foul.""}]"
4,bam,sentiment,tg foh saya c est la famille,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
tg foh saya c est la famille<|im_end|>
<|im_start|>assistant
<think>

</think>

",positive,positive,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'tg foh saya c est la famille'}]"
5,pcm,sentiment,instagram introduce new feature to stop cyber bullying,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
instagram introduce new feature to stop cyber bullying<|im_end|>
<|im_start|>assistant
<think>

</think>

",positive,positive,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'instagram introduce new feature to stop cyber bullying'}]"
6,bam,sentiment,force à vous anw baw kô,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
force à vous anw baw kô<|im_end|>
<|im_start|>assistant
<think>

</think>

",neutral,neutral,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'force à vous anw baw kô'}]"
7,bam,sentiment,koumateyi halala fosaya,"<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
koumateyi halala fosaya<|im_end|>
<|im_start|>assistant
<think>

</think>

",positive,positive,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'koumateyi halala fosaya'}]"
8,pcm,sentiment,"nnpc recruitment tie-wrapper as e pass 60,000 pipo wey write dia job exam","<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
nnpc recruitment tie-wrapper as e pass 60,000 pipo wey write dia job exam<|im_end|>
<|im_start|>assistant
<think>

</think>

",neutral,neutral,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'nnpc recruitment tie-wrapper as e pass 60,000 pipo wey write dia job exam'}]"
9,yor,sentiment,"Gbogbo nkán nípa fíìmù náà ni wọ́n ti dáa dáa. O ní àwọn òṣeré tí o ṣe ipá wọn gídígán, ojúlówó ìtàn àti iṣeto àwòrán yí o yege jùlọ","<|im_start|>system
I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.
Now, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
defender of di universe  wear captain band for us for fess time dis night! ©️󠁧󠁢󠁥󠁮󠁧󠁿<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
ahh c est bizare dè<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
c3siri for life<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
baba we don meet again sha. in this life, you no fit run from your destiny.<|im_end|>
<|im_start|>assistant
positive<|im_end|>
<|im_start|>user
c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen<|im_end|>
<|im_start|>assistant
neutral<|im_end|>
<|im_start|>user
Gbogbo nkán nípa fíìmù náà ni wọ́n ti dáa dáa. O ní àwọn òṣeré tí o ṣe ipá wọn gídígán, ojúlówó ìtàn àti iṣeto àwòrán yí o yege jùlọ<|im_end|>
<|im_start|>assistant
<think>

</think>

",positive,positive,"[{'role': 'system', 'content': 'I will give you examples of text with their sentiment classification label. Then I want you to classify a new text as positive, negative or neutral.\nNow, classify the sentiment of the following text. The answer should be on of the provided list. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'defender of di universe  wear captain band for us for fess time dis night! ©️\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'ahh c est bizare dè'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'c3siri for life'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'baba we don meet again sha. in this life, you no fit run from your destiny.'}, {'role': 'assistant', 'content': 'positive'}, {'role': 'user', 'content': 'c est tellement facile de perdre la confiance des enfants façon ni kofai outai exercice fochi dedi ima bilen'}, {'role': 'assistant', 'content': 'neutral'}, {'role': 'user', 'content': 'Gbogbo nkán nípa fíìmù náà ni wọ́n ti dáa dáa. O ní àwọn òṣeré tí o ṣe ipá wọn gídígán, ojúlówó ìtàn àti iṣeto àwòrán yí o yege jùlọ'}]"
