example_id,lang_code,task,input,model_prompt,generation,raw_generation,message_sequence
0,kab,paraphrase,Ɣef leḥsab-iw tɣelṭeḍ.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Kabyle (kab)
text: Ɣef leḥsab-iw tɣelṭeḍ.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Ɣef lǧal-iw tɣelṭeḍ.,Ɣef lǧal-iw tɣelṭeḍ.,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Kabyle (kab)\ntext: Ɣef leḥsab-iw tɣelṭeḍ.'}]"
1,kab,paraphrase,Ini-d d acu tettwaliḍ.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Kabyle (kab)
text: Ini-d d acu tettwaliḍ.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Ini-d d acu i ttwaliḍ.,Ini-d d acu i ttwaliḍ.,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Kabyle (kab)\ntext: Ini-d d acu tettwaliḍ.'}]"
2,kab,paraphrase,Nettat d taqbaylit.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Kabyle (kab)
text: Nettat d taqbaylit.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Netta d taqbaylit.,Netta d taqbaylit.,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Kabyle (kab)\ntext: Nettat d taqbaylit.'}]"
3,kab,paraphrase,Yessken-aɣ-d kra n tewlafin.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Kabyle (kab)
text: Yessken-aɣ-d kra n tewlafin.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Yessken-aɣ-d kra n tlawin.,Yessken-aɣ-d kra n tlawin.,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Kabyle (kab)\ntext: Yessken-aɣ-d kra n tewlafin.'}]"
4,ber,paraphrase,Ur yelli yettaki-d zik.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ur yelli yettaki-d zik.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Ur d-yettaki ara zik.,Ur d-yettaki ara zik.,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ur yelli yettaki-d zik.'}]"
5,kab,paraphrase,D aẓayan maca zmereɣ-as.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Kabyle (kab)
text: D aẓayan maca zmereɣ-as.<|im_end|>
<|im_start|>assistant
<think>

</think>

","D aẓayan, lameɛna zemreɣ-as.","D aẓayan, lameɛna zemreɣ-as.","[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Kabyle (kab)\ntext: D aẓayan maca zmereɣ-as.'}]"
6,kab,paraphrase,Ad qqimeɣ wala ad ruḥeɣ.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Kabyle (kab)
text: Ad qqimeɣ wala ad ruḥeɣ.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Ad qqimeɣ neɣ ad ruḥeɣ.,Ad qqimeɣ neɣ ad ruḥeɣ.,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Kabyle (kab)\ntext: Ad qqimeɣ wala ad ruḥeɣ.'}]"
7,ber,paraphrase,Ayɣer ay tɛerḍeḍ ad trewleḍ?,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ayɣer ay tɛerḍeḍ ad trewleḍ?<|im_end|>
<|im_start|>assistant
<think>

</think>

",Ayɣer i tɛerḍeḍ ad trewleḍ?,Ayɣer i tɛerḍeḍ ad trewleḍ?,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ayɣer ay tɛerḍeḍ ad trewleḍ?'}]"
8,kab,paraphrase,"Ticki ar ad azzleɣ, teţeccef-iyi-d tidi.","<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Kabyle (kab)
text: Ticki ar ad azzleɣ, teţeccef-iyi-d tidi.<|im_end|>
<|im_start|>assistant
<think>

</think>

","Mi ara d-ffɣeɣ, tteṭṭef-iyi-d tidi.","Mi ara d-ffɣeɣ, tteṭṭef-iyi-d tidi.","[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Kabyle (kab)\ntext: Ticki ar ad azzleɣ, teţeccef-iyi-d tidi.'}]"
9,ber,paraphrase,Betty tenɣa yemma-s.,"<|im_start|>system
I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.
Now, please paraphrase the following text. Return only the bare result; no explanations.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.<|im_end|>
<|im_start|>assistant
Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Ad ffɣen azekka?<|im_end|>
<|im_start|>assistant
Ad ffɣent azekka?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Atan Fadil.<|im_end|>
<|im_start|>assistant
Wa d Faḍil.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Tamrint-a ur tetteddu.<|im_end|>
<|im_start|>assistant
Texṣer temrint-a.<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?<|im_end|>
<|im_start|>assistant
Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?<|im_end|>
<|im_start|>user
language: Berber (ber)
text: Betty tenɣa yemma-s.<|im_end|>
<|im_start|>assistant
<think>

</think>

",Betty tḥemmel yemma-s armi t-tɣel.,Betty tḥemmel yemma-s armi t-tɣel.,"[{'role': 'system', 'content': 'I will give you some examples of paraphrasing, then I want you to paraphrase a new text in a similar style and same language.\nNow, please paraphrase the following text. Return only the bare result; no explanations.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ssneɣ Jim seg wasmi ay nella d imecṭuḥen.'}, {'role': 'assistant', 'content': 'Ssneɣ Jim seg wasmi ay lliɣ d amecṭuḥ.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Ad ffɣen azekka?'}, {'role': 'assistant', 'content': 'Ad ffɣent azekka?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Atan Fadil.'}, {'role': 'assistant', 'content': 'Wa d Faḍil.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Tamrint-a ur tetteddu.'}, {'role': 'assistant', 'content': 'Texṣer temrint-a.'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Anwa ay d-mazal yettaddam akud akken ad yaru tabṛat taɣezfant i umeddakel?'}, {'role': 'assistant', 'content': 'Anwa i d-mazal yettaddam akud akken ad yekteb tabṛat ɣezzifen i umeddakel-is?'}, {'role': 'user', 'content': 'language: Berber (ber)\ntext: Betty tenɣa yemma-s.'}]"
